name,neighbourhood_cleansed,room_type,price,review_scores_rating,price_log
Skylit Midtown Castle,Midtown,Entire home/apt,225,100,5.416
Cozy Entire Floor of Brownstone,Clinton Hill,Entire home/apt,89,100,4.489
Large Cozy 1 BR Apartment In Midtown East,Murray Hill,Entire home/apt,200,100,5.298
BlissArtsSpace!,Bedford-Stuyvesant,Private room,60,100,4.094
Large Furnished Room Near B'way ,Hell's Kitchen,Private room,79,100,4.369
Cozy Clean Guest Room - Family Apt,Upper West Side,Private room,79,100,4.369
Cute & Cozy Lower East Side 1 bdrm,Chinatown,Entire home/apt,150,100,5.011
Central Manhattan/near Broadway,Hell's Kitchen,Private room,85,100,4.443
"Lovely Room 1, Garden, Best Area, Legal rental",South Slope,Private room,89,100,4.489
West Village Nest - Superhost,West Village,Entire home/apt,120,100,4.787
Only 2 stops to Manhattan studio,Williamsburg,Entire home/apt,140,100,4.942
Perfect for Your Parents + Garden,Fort Greene,Entire home/apt,199,100,5.293
"Chelsea Perfect  by Doti, an AIRBNB  Super Host!",Chelsea,Private room,120,100,4.787
Hip Historic Brownstone Apartment with Backyard,Crown Heights,Entire home/apt,99,100,4.595
Huge 2 BR Upper East  Cental Park,East Harlem,Entire home/apt,190,100,5.247
Sweet and Spacious Brooklyn Loft,Williamsburg,Entire home/apt,299,100,5.700
CBG CtyBGd HelpsHaiti rm#1:1-4,Park Slope,Private room,115,100,4.745
CBG Helps Haiti Room#2.5,Park Slope,Private room,80,100,4.382
CBG Helps Haiti Rm #2,Park Slope,Private room,32,100,3.466
"MAISON DES SIRENES1,bohemian apartment",Bedford-Stuyvesant,Entire home/apt,120,100,4.787
Sunny Bedroom Across Prospect Park,Windsor Terrace,Private room,60,100,4.094
Magnifique Suite au N de Manhattan - vue Cloitres,Inwood,Private room,80,100,4.382
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Inwood,Private room,44,100,3.784
Modern 1 BR / NYC / EAST VILLAGE,East Village,Entire home/apt,180,100,5.193
front room/double bed,Harlem,Private room,50,100,3.912
Spacious 1 bedroom in luxe building,Harlem,Private room,52,100,3.951
Loft in Williamsburg Area w/ Roof,Greenpoint,Private room,55,100,4.007
back room/bunk beds,Harlem,Private room,50,100,3.912
Large B&B Style rooms,Bedford-Stuyvesant,Private room,70,100,4.248
"Lovely room 2 & garden; Best area, Legal rental",South Slope,Private room,89,100,4.489
HUGE Loft! Comfy! Light! Plants!,Bushwick,Entire home/apt,98,100,4.585
Cute apt in artist's home,Bushwick,Entire home/apt,85,100,4.443
Country space in the city,Flatbush,Private room,150,100,5.011
LowerEastSide apt share shortterm 1,Lower East Side,Shared room,40,100,3.689
ENJOY Downtown NYC!,East Village,Private room,68,100,4.220
West Side Retreat,Upper West Side,Private room,135,100,4.905
BEST BET IN HARLEM,Harlem,Entire home/apt,150,100,5.011
Entire apartment in central Brooklyn neighborhood.,Prospect-Lefferts Gardens,Entire home/apt,150,100,5.011
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Long Island City,Private room,130,100,4.868
Charming Brownstone 3 - Near PRATT,Bedford-Stuyvesant,Entire home/apt,110,100,4.700
bright and stylish duplex,Bedford-Stuyvesant,Entire home/apt,120,100,4.787
Fort Greene brownstone ,Fort Greene,Private room,80,100,4.382
Blue Room for 2 in Brownstone for $1350 monthly,Bedford-Stuyvesant,Private room,80,100,4.382
Cozy 1BD on Central Park West in New York City,Upper West Side,Entire home/apt,151,100,5.017
