name,neighbourhood_cleansed,room_type,price,review_scores_rating
Room in Sant Antoni huge terrasse,el Raval,Private room,39,100
"Next To Las Ramblas, Unique, Wif1",el Raval,Entire home/apt,60,77
Sunny whole flat in Raval/Ramblas,el Raval,Entire home/apt,55,83
Apartment in the heart of Barcelona,el Raval,Entire home/apt,99,84
Centric Bohemian next Ramblas&Macba,el Raval,Entire home/apt,45,80
Habitacion Single Exterior,el Raval,Private room,25,67
Beautiful Apartment in City D,el Raval,Entire home/apt,79,79
single room,el Raval,Private room,21,80
BOQUERIA!!!RAMBLA!!!DOUBLE ROOM FOR RENT,el Raval,Private room,40,94
Apartamento para famillas Barcelona,el Raval,Entire home/apt,98,92
Beautiful apt double terrace center,el Raval,Entire home/apt,60,90
Modern Loft DBL Room w/ Balcony,el Raval,Private room,42,
Lovely LOFT in el Raval (city centre),el Raval,Entire home/apt,70,83
Pop Apartment next to LA RAMBLA,el Raval,Entire home/apt,65,76
‘__ Åç Åèç____‹ Å_‘è‰_Å© óè __ __ o_Big comfortable house,el Raval,Private room,36,97
Habitaciin en el centro de Barcelona,el Raval,Private room,55,100
Centrical  room OldCity Breakfast,el Raval,Private room,27,90
"Flat in Raval, 3mn from Metro L3",el Raval,Entire home/apt,525,
Habitaciin doble en el Raval,el Raval,Private room,45,97
Cosy central flat w/ terrasse,el Raval,Entire home/apt,90,88
Ocio y cultura,el Raval,Private room,30,92
Sunny room in Raval Center,el Raval,Private room,55,96
Central double room Sunny Terrace,el Raval,Private room,65,96
HABITACION BALCON y CAMA DOBLE,el Raval,Private room,45,83
CHIC BEAUTIFUL SUITE in arty centric flat,el Raval,Private room,60,98
COZY CENTRIC 2BD WITH LOVE,el Raval,Entire home/apt,47,80
BHNflats4u 103,el Raval,Entire home/apt,75,
Cool Flat in Barcelona Center!,el Raval,Entire home/apt,120,75
Hermoso apartamento en Sant Antoni,el Raval,Entire home/apt,165,
Charming and enchanting penthouse,el Raval,Entire home/apt,125,98
Barcelona Central  Flat,el Raval,Entire home/apt,19,96
Side street from Las Ramblas ,el Raval,Private room,30,95
"Quiet double, stylish central flat",el Raval,Private room,25,86
Barcelona old town single room,el Raval,Private room,40,89
Nice & Quite room Raval Boqueria center,el Raval,Private room,36,87
Central doble room private terrace,el Raval,Private room,49,84
Rooftop In the Heart of Barcelona !!,el Raval,Private room,61,98
Huge & Bright bedroom in our Home (Pl. Catalunya),el Raval,Private room,60,93
"RAMBLAS BOQUERIA, WALK EVERYWHERE!!",el Raval,Entire home/apt,69,90
Double Room El Raval - MACBA,el Raval,Private room,50,92
Lovely Room Barcelona Ramblas.,el Raval,Private room,40,80
"Cosy, bright and central apartment!",el Raval,Entire home/apt,76,81
Bohemian Loft appartment,el Raval,Entire home/apt,75,80
Large and bright private double room+living room,el Raval,Private room,70,80
B&B mirador de Sant Pau,el Raval,Private room,44,85
Piso con terraza muy centrico ( rambla) :-),el Raval,Private room,44,
Charming bedroom  in historical location of Raval,el Raval,Private room,20,89
PANORAMIC SUNSET SUITE - Private Entrance + Patio!,el Raval,Private room,65,100
Beautiful and Quiet Apartment in the Centre,el Raval,Entire home/apt,80,94
Apartment near las Ramblas,el Raval,Entire home/apt,70,93
ÕÅtico luminoso en Barcelona centro,el Raval,Entire home/apt,110,
Lovely & Centric Double Bedroom,el Raval,Private room,30,85
Nice room city center Ramblas,el Raval,Private room,30,93
Double room with air conditioning,el Raval,Private room,37,91
"Basic, All you need, Centric Apartm",el Raval,Private room,73,85
Vistalegre House,el Raval,Private room,100,
Relax in El Raval-Double w. Balcony,el Raval,Private room,53,90
Quiet stylish downtown room,el Raval,Private room,40,97
Central Cosy loft,el Raval,Entire home/apt,30,71
Sunny place with Terrace in Raval,el Raval,Private room,50,100
Cosy apartment in Sant Antoni,el Raval,Entire home/apt,89,80
BHNflats4u 102,el Raval,Entire home/apt,75,100
Stunning New Flat Barcelona Center!,el Raval,Entire home/apt,150,91
Quiet double room Barcelona downtown,el Raval,Private room,23,100
"Apartment next to ""RAMBLAS""",el Raval,Entire home/apt,75,86
Small cozy room in center,el Raval,Private room,39,88
AMAZING & CHEAP!,el Raval,Private room,50,20
Centric and perfect apartment up to 5 pax,el Raval,Entire home/apt,170,100
Apartment in Barcelona center,el Raval,Entire home/apt,20,77
Cosy flat in the city centre,el Raval,Entire home/apt,100,100
"Twins, Brilliant and Central",el Raval,Private room,82,95
HABITACION con CAMADOBLE y BALCON,el Raval,Private room,45,85
"Design, authentic 5 min from rambla",el Raval,Private room,58,98
Luxurious flat in barcelona center,el Raval,Private room,35,93
Room in the center of BCN,el Raval,Private room,37,80
Double room with balcony BCN center,el Raval,Private room,135,
 Habitaciin para 2 o 3 personas en el centro ,el Raval,Private room,40,78
Two beds- Ramblas- Charming,el Raval,Private room,39,92
Dbl bedroom with private bathroom,el Raval,Private room,45,91
Double room in the center of BCN,el Raval,Private room,45,
CITY CENTER. RAVAL Cozy room with private bathroom,el Raval,Private room,65,
Chambre calme proche Ramblas,el Raval,Private room,100,100
Beautiful apartment in Raval,el Raval,Entire home/apt,113,80
Modern apartment by La Rambla,el Raval,Entire home/apt,60,95
"OtRambla 25, 2-3. Central. Only 7 min from Ramblas",el Raval,Entire home/apt,125,73
HABITACION CAMADOBLE ,el Raval,Private room,30,86
GORGEOUS DESIGN FLAT HEART BCN 1B,el Raval,Entire home/apt,69,86
Big Room with Ensuite Shower and Private Bathroom,el Raval,Private room,50,78
Barcelona Center. 2 bedrooms.,el Raval,Entire home/apt,70,88
Mirror's room on Plaza Catalunya,el Raval,Private room,43,86
AHLflats C1,el Raval,Entire home/apt,75,68
Cozy single room - El Raval,el Raval,Private room,17,80
Room in center of BCN. El Raval,el Raval,Private room,20,76
PRIVATE ROOM IN THE CENTER OF BARCELONA,el Raval,Private room,40,
Habitaciin raval,el Raval,Private room,10,
Charming and cozy double bedroom in Raval,el Raval,Private room,30,90
Raval's Virreina,el Raval,Private room,55,97
GORGEOUS DESIGN GROUND FLOOR,el Raval,Entire home/apt,69,87
"Small, cheap & centric room in very nice house",el Raval,Private room,40,80
"RAVAL 1-BEDROOM FLAT, NEXT RAMBLAS, BEST LOCATION",el Raval,Entire home/apt,59,
Centrica habitaciin con balcon y W.C privado,el Raval,Private room,45,
Entire flat in the heart of barcelona,el Raval,Entire home/apt,100,60
"Old town 4, 6 minutes from Ramblas,",el Raval,Entire home/apt,180,90
RAMBLAS PLAZA lovely room,el Raval,Private room,80,89
"Mini.diplex, corazin del Raval",el Raval,Private room,47,84
Cozy Room in center of Barcelona,el Raval,Private room,24,80
Room with private bath in Barcelona center,el Raval,Private room,50,90
_é‚MODERN 'ZEN' COMFORT IN THE HEART OF THE RAVAL _é‚,el Raval,Entire home/apt,95,100
Cute attic in the city centre.,el Raval,Entire home/apt,79,93
Refurbished apartment in high Raval,el Raval,Private room,42,97
CONFORTABLE APARTAMENTO CENTRICO,el Raval,Entire home/apt,43,83
